French,English
histoire,history
seulement,only
police,police
pensais,thought
aide,help
demande,request
mois,month
frère,brother
car,because
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
revoir,meet again
aucune,any
place,square
parle,speak
savais,knew
étaient,were
pourrais,could
affaire,case
type,type
leurs,their
train,train
corps,body
yeux,eyes
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
sois,be
tiens,here
enfant,child
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
mis,placed
belle,beautiful
droit,law
aimerais,would like to
mari,husband
cause,cause
enfin,finally
espère,hope
attendez,Wait
parti,left
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
donne,given
fin,end
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
